date,cash,equity,total,daily_return
2023-01-03,100000.0,0.0,100000.0,0.0
2023-01-04,100000.0,0.0,100000.0,0.0
2023-01-05,100000.0,0.0,100000.0,0.0
2023-01-06,100000.0,0.0,100000.0,0.0
2023-01-09,100000.0,0.0,100000.0,0.0
2023-01-10,100000.0,0.0,100000.0,0.0
2023-01-11,100000.0,0.0,100000.0,0.0
2023-01-12,100000.0,0.0,100000.0,0.0
2023-01-13,100000.0,0.0,100000.0,0.0
2023-01-17,100000.0,0.0,100000.0,0.0
2023-01-18,100000.0,0.0,100000.0,0.0
2023-01-19,100000.0,0.0,100000.0,0.0
2023-01-20,100000.0,0.0,100000.0,0.0
2023-01-23,100000.0,0.0,100000.0,0.0
2023-01-24,100000.0,0.0,100000.0,0.0
2023-01-25,100000.0,0.0,100000.0,0.0
2023-01-26,100000.0,0.0,100000.0,0.0
2023-01-27,100000.0,0.0,100000.0,0.0
2023-01-30,100000.0,0.0,100000.0,0.0
2023-01-31,100000.0,0.0,100000.0,0.0
2023-02-01,100000.0,0.0,100000.0,0.0
2023-02-02,100000.0,0.0,100000.0,0.0
2023-02-03,100000.0,0.0,100000.0,0.0
2023-02-06,100000.0,0.0,100000.0,0.0
2023-02-07,100000.0,0.0,100000.0,0.0
2023-02-08,100000.0,0.0,100000.0,0.0
2023-02-09,100000.0,0.0,100000.0,0.0
2023-02-10,100000.0,0.0,100000.0,0.0
2023-02-13,100000.0,0.0,100000.0,0.0
2023-02-14,100000.0,0.0,100000.0,0.0
2023-02-15,100000.0,0.0,100000.0,0.0
2023-02-16,100000.0,0.0,100000.0,0.0
2023-02-17,100000.0,0.0,100000.0,0.0
2023-02-21,100000.0,0.0,100000.0,0.0
2023-02-22,100000.0,0.0,100000.0,0.0
2023-02-23,100000.0,0.0,100000.0,0.0
2023-02-24,100000.0,0.0,100000.0,0.0
2023-02-27,100000.0,0.0,100000.0,0.0
2023-02-28,100000.0,0.0,100000.0,0.0
2023-03-01,100000.0,0.0,100000.0,0.0
2023-03-02,100000.0,0.0,100000.0,0.0
2023-03-03,100000.0,0.0,100000.0,0.0
2023-03-06,100000.0,0.0,100000.0,0.0
2023-03-07,100000.0,0.0,100000.0,0.0
2023-03-08,100000.0,0.0,100000.0,0.0
2023-03-09,100000.0,0.0,100000.0,0.0
2023-03-10,100000.0,0.0,100000.0,0.0
2023-03-13,100000.0,0.0,100000.0,0.0
2023-03-14,100000.0,0.0,100000.0,0.0
2023-03-15,80005.95999999999,19994.04,100000.0,0.0
2023-03-16,80005.95999999999,20367.600000000002,100373.56,0.00373559999999995
2023-03-17,64051.31999999999,36211.36,100262.68,-0.001104673382113841
2023-03-20,51258.60999999999,48905.69,100164.29999999999,-0.000981222524672254
2023-03-21,51258.60999999999,49707.31,100965.91999999998,0.008003050987227978
2023-03-22,41092.509999999995,59403.81,100496.31999999999,-0.004651074342708839
2023-03-23,41092.509999999995,60137.479999999996,101229.98999999999,0.0073004663255331614
2023-03-24,41092.509999999995,60394.899999999994,101487.40999999999,0.002542922309880735
2023-03-27,41092.509999999995,59513.35,100605.85999999999,-0.00868629911828478
2023-03-28,41092.509999999995,59101.380000000005,100193.89,-0.004094890695233722
2023-03-29,41092.509999999995,60166.61,101259.12,0.010631686223581127
2023-03-30,41092.509999999995,60693.020000000004,101785.53,0.005198642848170065
2023-03-31,41092.509999999995,61760.380000000005,102852.89,0.010486362845484987
2023-04-03,41092.509999999995,61855.17,102947.68,0.0009216075503566401
2023-04-04,41092.509999999995,61985.329999999994,103077.84,0.0012643315517164577
2023-04-05,41092.509999999995,61253.43000000001,102345.94,-0.007100459225765632
2023-04-06,41092.509999999995,62383.600000000006,103476.11,0.011042646146979473
2023-04-10,41092.509999999995,61675.1,102767.60999999999,-0.006846991059095808
2023-04-11,41092.509999999995,60769.78,101862.29,-0.008809390429533104
2023-04-12,41092.509999999995,60412.229999999996,101504.73999999999,-0.003510131178083742
2023-04-13,41092.509999999995,62310.03,103402.54,0.01869666382082258
2023-04-14,41092.509999999995,62246.34,103338.84999999999,-0.0006159423163106803
2023-04-17,41092.509999999995,62057.600000000006,103150.11,-0.0018264186218444056
2023-04-18,41092.509999999995,61964.86000000001,103057.37,-0.0008990780523646658
2023-04-19,41092.509999999995,62286.66,103379.17,0.003122532624304286
2023-04-20,41092.509999999995,62114.45,103206.95999999999,-0.0016658094662590495
2023-04-21,41092.509999999995,62221.32,103313.82999999999,0.001035492179984665
2023-04-24,41092.509999999995,62026.85,103119.35999999999,-0.0018823230152246184
2023-04-25,41092.509999999995,60818.17999999999,101910.68999999999,-0.011721077400014934
2023-04-26,41092.509999999995,62186.43,103278.94,0.013425971308800078
2023-04-27,41092.509999999995,64322.35,105414.85999999999,0.020681079801942115
2023-04-28,41092.509999999995,64146.01,105238.51999999999,-0.0016728191831777428
2023-05-01,41092.509999999995,63668.71,104761.22,-0.004535411558429292
2023-05-02,41092.509999999995,63447.98,104540.48999999999,-0.002106981953818532
2023-05-03,41092.509999999995,63261.490000000005,104354.0,-0.0017839021033858593
2023-05-04,41092.509999999995,63048.30999999999,104140.81999999998,-0.0020428541311308113
2023-05-05,41092.509999999995,64644.94500000001,105737.455,0.015331500174475599
2023-05-08,41092.509999999995,64817.6,105910.10999999999,0.0016328650996941807
2023-05-09,41092.509999999995,64525.95000000001,105618.46,-0.0027537503265738783
2023-05-10,41092.509999999995,65986.9,107079.40999999999,0.013832335748883207
2023-05-11,41092.509999999995,66700.69,107793.2,0.006665987419990582
2023-05-12,41092.509999999995,66433.32,107525.83,-0.0024803976503156022
2023-05-15,41092.509999999995,66366.25,107458.76,-0.0006237571009682918
2023-05-16,41092.509999999995,67101.81,108194.31999999999,0.006845044554766755
2023-05-17,41092.509999999995,67736.48,108828.98999999999,0.005866019584022553
2023-05-18,41092.509999999995,68828.45,109920.95999999999,0.010033815438331262
2023-05-19,41092.509999999995,68627.94,109720.45,-0.0018241289013487538
2023-05-22,41092.509999999995,68826.78000000001,109919.29000000001,0.0018122419293760128
2023-05-23,41092.509999999995,67825.2,108917.70999999999,-0.009111958419673383
2023-05-24,41092.509999999995,67753.27,108845.78,-0.000660406833746241
2023-05-25,41092.509999999995,68739.4,109831.90999999999,0.009059882707441513
2023-05-26,41092.509999999995,70126.40000000001,111218.91,0.012628388234348531
2023-05-30,41092.509999999995,70315.90999999999,111408.41999999998,0.0017039368575000324
2023-05-31,41092.509999999995,69936.5,111029.01,-0.0034055774240402403
2023-06-01,41092.509999999995,70879.21,111971.72,0.008490663836415502
2023-06-02,41092.509999999995,71427.06,112519.56999999999,0.004892753277345285
2023-06-05,41092.509999999995,71555.92,112648.43,0.0011452230043182965
2023-06-06,41092.509999999995,71677.76999999999,112770.27999999998,0.0010816839613299045
2023-06-07,41092.509999999995,69743.28,110835.79,-0.01715425376260471
2023-06-08,41092.509999999995,70476.86,111569.37,0.006618620212839099
2023-06-09,41092.509999999995,70542.88999999998,111635.39999999998,0.0005918291014817001
2023-06-12,41092.509999999995,71703.13,112795.64,0.010393119028552
2023-06-13,41092.509999999995,71814.27,112906.78,0.0009853217730755315
2023-06-14,41092.509999999995,72026.97,113119.48,0.0018838549819595318
2023-06-15,41092.509999999995,73163.04,114255.54999999999,0.010043097793589473
2023-06-16,41092.509999999995,72325.48,113417.98999999999,-0.007330584816229946
2023-06-20,41092.509999999995,72069.12999999999,113161.63999999998,-0.0022602234442702374
2023-06-21,41092.509999999995,71254.48000000001,112346.99,-0.0071989942881702795
2023-06-22,41092.509999999995,72882.07,113974.58,0.01448717050630366
2023-06-23,41092.509999999995,72383.96,113476.47,-0.004370360478626045
2023-06-26,41092.509999999995,71119.98,112212.48999999999,-0.011138696859357755
2023-06-27,56048.03,57061.0,113109.03,0.007989663182770501
2023-06-28,56048.03,57276.0,113324.03,0.0019008208274795546
2023-06-29,56048.03,57156.32000000001,113204.35,-0.0010560866922928458
2023-06-30,56048.03,58297.68000000001,114345.71,0.010082298074234775
2023-07-03,56048.03,57939.68000000001,113987.71,-0.003130856417787764
2023-07-05,56048.03,57817.6,113865.63,-0.0010709926535062975
2023-07-06,56048.03,57849.64,113897.67,0.0002813842948041767
2023-07-07,56048.03,57616.64,113664.67,-0.002045695930390834
2023-07-10,56048.03,56764.53,112812.56,-0.0074967006018669125
2023-07-11,56048.03,56902.380000000005,112950.41,0.0012219384082765572
2023-07-12,56048.03,57601.74,113649.76999999999,0.006191743792696158
2023-07-13,56048.03,58376.5,114424.53,0.006817083747727937
2023-07-14,56048.03,58581.44000000001,114629.47,0.001791049524083821
2023-07-17,56048.03,58926.88,114974.91,0.0030135356989786644
